MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Coeur d'Alene, ID",Coeur d'Alene,ID,"3,746",3746,"$2,214,750 ","$26,577,000 ","1,045",1045,"$590,425 ","$7,085,100 ","1,354",1354,"$9,180,764 ","$9,180,125 ",$565 ,"$1,156,060 ","6,039",6039,"$3,078,282 ","$36,939,384 ","1,045",1045,"$590,425 ","$7,085,100 ","2,258",2258,"$13,464,252 ","$15,311,842 ",$565 ,"$1,928,231 ",2701,4994
"College Station-Bryan, TX",College Station-Bryan,TX,"13,368",13368,"$10,463,064 ","$125,556,768 ","1,866",1866,"$1,026,300 ","$12,315,600 ","4,394",4394,"$38,369,624 ","$29,001,466 ",$550 ,"$3,751,779 ","19,277",19277,"$13,232,043 ","$158,784,516 ","1,866",1866,"$1,026,300 ","$12,315,600 ","6,368",6368,"$49,509,360 ","$42,031,872 ",$550 ,"$5,437,460 ",11502,17411
"Colorado Springs, CO",Colorado Springs,CO,"17,485",17485,"$12,231,174 ","$146,774,088 ","3,187",3187,"$2,540,039 ","$30,480,468 ","6,406",6406,"$50,374,372 ","$61,264,028 ",$797 ,"$5,469,243 ","34,310",34310,"$20,233,502 ","$242,802,024 ","3,187",3187,"$2,540,039 ","$30,480,468 ","12,237",12237,"$82,837,632 ","$117,036,760 ",$797 ,"$10,448,260 ",14298,31123
"Columbia, MO",Columbia,MO,"9,195",9195,"$6,882,231 ","$82,586,772 ","1,929",1929,"$945,210 ","$11,342,520 ","2,994",2994,"$26,418,796 ","$17,604,272 ",$490 ,"$2,556,242 ","14,896",14896,"$9,080,975 ","$108,971,700 ","1,929",1929,"$945,210 ","$11,342,520 ","4,969",4969,"$35,592,976 ","$29,218,454 ",$490 ,"$4,242,688 ",7266,12967
"Columbia, SC",Columbia,SC,"24,648",24648,"$15,270,806 ","$183,249,672 ","5,522",5522,"$3,517,514 ","$42,210,168 ","9,191",9191,"$62,207,696 ","$70,256,160 ",$637 ,"$7,847,385 ","38,497",38497,"$20,544,958 ","$246,539,496 ","5,522",5522,"$3,517,514 ","$42,210,168 ","14,421",14421,"$84,800,208 ","$110,231,224 ",$637 ,"$12,312,470 ",19126,32975
"Columbus, OH",Columbus,OH,"67,695",67695,"$37,628,220 ","$451,538,640 ","18,632",18632,"$11,961,744 ","$143,540,928 ","24,416",24416,"$150,782,224 ","$188,101,792 ",$642 ,"$20,846,726 ","112,336",112336,"$54,391,396 ","$652,696,752 ","18,632",18632,"$11,961,744 ","$143,540,928 ","40,403",40403,"$221,067,856 ","$311,263,264 ",$642 ,"$34,496,324 ",49063,93704
"Corpus Christi, TX",Corpus Christi,TX,"15,169",15169,"$8,055,667 ","$96,668,004 ","4,036",4036,"$2,663,760 ","$31,965,120 ","5,753",5753,"$31,319,284 ","$45,566,216 ",$660 ,"$4,912,234 ","23,326",23326,"$11,282,507 ","$135,390,084 ","4,036",4036,"$2,663,760 ","$31,965,120 ","8,700",8700,"$44,636,620 ","$68,903,600 ",$660 ,"$7,428,105 ",11133,19290
"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,TX,"192,375",192375,"$131,715,408 ","$1,580,584,896 ","48,976",48976,"$49,220,880 ","$590,650,560 ","66,731",66731,"$514,561,920 ","$804,780,736 ","$1,005 ","$56,975,940 ","352,247",352247,"$205,014,528 ","$2,460,174,336 ","48,976",48976,"$49,220,880 ","$590,650,560 ","119,784",119784,"$805,982,144 ","$1,444,596,864 ","$1,005 ","$102,272,904 ",143399,303271
"Daphne-Fairhope-Foley, AL",Daphne-Fairhope-Foley,AL,"3,904",3904,"$2,548,831 ","$30,585,972 ",277,277,"$291,127 ","$3,493,524 ","1,550",1550,"$10,465,012 ","$19,551,326 ","$1,051 ","$1,323,590 ","7,072",7072,"$3,703,902 ","$44,446,824 ",277,277,"$291,127 ","$3,493,524 ","2,946",2946,"$15,385,695 ","$37,153,428 ","$1,051 ","$2,515,221 ",3627,6795
"Dayton, OH",Dayton,OH,"30,823",30823,"$14,133,015 ","$169,596,180 ",,, $-   ,#VALUE!,"9,811",9811,"$49,169,736 ", $-   ,,"$8,376,337 ","49,870",49870,"$20,263,704 ","$243,164,448 ",,, $-   ,#VALUE!,"16,185",16185,"$72,977,168 ", $-   ,,"$13,818,997 ",30823,49870
"Decatur, AL",Decatur,AL,"3,875",3875,"$1,243,054 ","$14,916,648 ",805,805,"$404,110 ","$4,849,320 ","1,619",1619,"$4,942,995 ","$9,753,576 ",$502 ,"$1,382,420 ","5,918",5918,"$1,727,789 ","$20,733,468 ",805,805,"$404,110 ","$4,849,320 ","2,488",2488,"$6,998,483 ","$14,986,810 ",$502 ,"$2,124,151 ",3070,5113
"Decatur, IL",Decatur,IL,"5,033",5033,"$1,995,276 ","$23,943,312 ","1,242",1242,"$701,730 ","$8,420,760 ","1,799",1799,"$8,235,188 ","$12,198,313 ",$565 ,"$1,536,142 ","7,399",7399,"$2,600,174 ","$31,202,088 ","1,242",1242,"$701,730 ","$8,420,760 ","2,672",2672,"$10,836,568 ","$18,114,926 ",$565 ,"$2,281,225 ",3791,6157
"Deltona-Daytona Beach-Ormond Beach, FL",Deltona-Daytona Beach-Ormond Beach,FL,"15,315",15315,"$11,386,923 ","$136,643,076 ","3,497",3497,"$2,724,163 ","$32,689,956 ","5,849",5849,"$48,899,400 ","$54,675,668 ",$779 ,"$4,993,863 ","23,368",23368,"$15,647,119 ","$187,765,428 ","3,497",3497,"$2,724,163 ","$32,689,956 ","9,316",9316,"$69,376,784 ","$87,087,584 ",$779 ,"$7,954,242 ",11818,19871
"Denver-Aurora-Lakewood, CO",Denver-Aurora-Lakewood,CO,"75,689",75689,"$60,220,604 ","$722,647,248 ","19,450",19450,"$21,570,050 ","$258,840,600 ","28,862",28862,"$254,031,344 ","$384,093,408 ","$1,109 ","$24,642,530 ","140,244",140244,"$98,449,728 ","$1,181,396,736 ","19,450",19450,"$21,570,050 ","$258,840,600 ","51,442",51442,"$412,504,096 ","$684,583,488 ","$1,109 ","$43,921,268 ",56239,120794
"Des Moines-West Des Moines, IA",Des Moines-West Des Moines,IA,"18,749",18749,"$9,885,421 ","$118,625,052 ","4,461",4461,"$2,136,819 ","$25,641,828 ","6,978",6978,"$39,744,912 ","$40,111,528 ",$479 ,"$5,958,181 ","33,640",33640,"$15,795,716 ","$189,548,592 ","4,461",4461,"$2,136,819 ","$25,641,828 ","12,355",12355,"$64,615,376 ","$71,016,592 ",$479 ,"$10,548,830 ",14288,29179
"Detroit-Warren-Dearborn, MI",Detroit-Warren-Dearborn,MI,"140,751",140751,"$79,756,416 ","$957,076,992 ","29,964",29964,"$18,128,220 ","$217,538,640 ","78,033",78033,"$479,276,032 ","$566,520,256 ",$605 ,"$66,625,436 ","220,856",220856,"$111,962,096 ","$1,343,545,152 ","29,964",29964,"$18,128,220 ","$217,538,640 ","122,770",122770,"$692,188,608 ","$891,312,448 ",$605 ,"$104,822,520 ",110787,190892
"Dover, DE",Dover,DE,"4,206",4206,"$2,370,407 ","$28,444,884 ","1,015",1015,"$631,330 ","$7,575,960 ","1,522",1522,"$8,827,758 ","$11,360,378 ",$622 ,"$1,299,518 ","6,510",6510,"$3,414,830 ","$40,977,960 ","1,015",1015,"$631,330 ","$7,575,960 ","2,381",2381,"$12,911,326 ","$17,773,820 ",$622 ,"$2,033,155 ",3191,5495
"East Stroudsburg, PA",East Stroudsburg,PA,"2,583",2583,"$1,659,903 ","$19,918,836 ",506,506,"$660,836 ","$7,930,032 ","1,071",1071,"$6,685,572 ","$16,779,804 ","$1,306 ","$914,163 ","4,883",4883,"$3,100,569 ","$37,206,828 ",506,506,"$660,836 ","$7,930,032 ","2,073",2073,"$13,721,293 ","$32,486,890 ","$1,306 ","$1,769,885 ",2077,4377
"Eau Claire, WI",Eau Claire,WI,"4,624",4624,"$1,946,767 ","$23,361,204 ","1,209",1209,"$522,288 ","$6,267,456 ","1,834",1834,"$8,888,095 ","$9,508,490 ",$432 ,"$1,566,058 ","8,173",8173,"$2,865,015 ","$34,380,180 ","1,209",1209,"$522,288 ","$6,267,456 ","3,151",3151,"$12,923,425 ","$16,335,940 ",$432 ,"$2,690,546 ",3415,6964
"El Centro, CA",El Centro,CA,"7,311",7311,"$3,055,537 ","$36,666,444 ","1,970",1970,"$931,810 ","$11,181,720 ","2,817",2817,"$12,929,562 ","$15,988,201 ",$473 ,"$2,405,019 ","9,672",9672,"$3,934,430 ","$47,213,160 ","1,970",1970,"$931,810 ","$11,181,720 ","3,800",3800,"$17,009,088 ","$21,571,046 ",$473 ,"$3,244,816 ",5341,7702
"El Paso, TX",El Paso,TX,"28,860",28860,"$12,448,328 ","$149,379,936 ","6,604",6604,"$3,526,536 ","$42,318,432 ","15,126",15126,"$68,410,032 ","$96,925,008 ",$534 ,"$12,914,410 ","39,017",39017,"$15,550,422 ","$186,605,064 ","6,604",6604,"$3,526,536 ","$42,318,432 ","20,686",20686,"$86,986,736 ","$132,558,736 ",$534 ,"$17,662,294 ",4222,7448
"Elkhart-Goshen, IN",Elkhart-Goshen,IN,"5,219",5219,"$2,459,689 ","$29,516,268 ",997,997,"$575,269 ","$6,903,228 ","1,787",1787,"$9,732,141 ","$12,371,157 ",$577 ,"$1,525,508 ","8,445",8445,"$3,508,574 ","$42,102,888 ",997,997,"$575,269 ","$6,903,228 ","3,032",3032,"$14,665,507 ","$20,993,698 ",$577 ,"$2,588,768 ",22256,32413
"Erie, PA",Erie,PA,"10,481",10481,"$4,870,152 ","$58,441,824 ","2,190",2190,"$959,220 ","$11,510,640 ","3,611",3611,"$19,302,168 ","$18,977,300 ",$438 ,"$3,082,764 ","17,477",17477,"$7,320,355 ","$87,844,260 ","2,190",2190,"$959,220 ","$11,510,640 ","6,373",6373,"$30,811,034 ","$33,494,740 ",$438 ,"$5,441,047 ",8291,15287
"Eugene, OR",Eugene,OR,"15,344",15344,"$10,523,568 ","$126,282,816 ","3,148",3148,"$2,002,128 ","$24,025,536 ","5,523",5523,"$41,128,516 ","$42,151,444 ",$636 ,"$4,715,582 ","24,009",24009,"$14,347,621 ","$172,171,452 ","3,148",3148,"$2,002,128 ","$24,025,536 ","8,860",8860,"$58,055,720 ","$67,621,208 ",$636 ,"$7,564,945 ",12196,20861
"Fayetteville-Springdale-Rogers, AR-MO",Fayetteville-Springdale-Rogers,AR-MO,"15,833",15833,"$8,284,179 ","$99,410,148 ","1,314",1314,"$583,416 ","$7,000,992 ","5,817",5817,"$32,622,592 ","$30,991,488 ",$444 ,"$4,966,375 ","26,925",26925,"$12,135,667 ","$145,628,004 ","1,314",1314,"$583,416 ","$7,000,992 ","9,849",9849,"$48,504,080 ","$52,473,804 ",$444 ,"$8,408,908 ",10591,15949
"Fayetteville, NC",Fayetteville,NC,"13,092",13092,"$7,290,998 ","$87,491,976 ","2,501",2501,"$1,590,636 ","$19,087,632 ","4,640",4640,"$27,411,146 ","$35,411,332 ",$636 ,"$3,961,550 ","18,450",18450,"$9,439,701 ","$113,276,412 ","2,501",2501,"$1,590,636 ","$19,087,632 ","6,612",6612,"$36,246,248 ","$50,465,004 ",$636 ,"$5,645,640 ",14519,25611
"Flagstaff, AZ",Flagstaff,AZ,"3,827",3827,"$3,594,333 ","$43,131,996 ",486,486,"$527,310 ","$6,327,720 ","1,482",1482,"$13,978,756 ","$19,300,078 ","$1,085 ","$1,265,637 ","6,147",6147,"$5,030,360 ","$60,364,320 ",486,486,"$527,310 ","$6,327,720 ","2,378",2378,"$20,347,320 ","$30,957,186 ","$1,085 ","$2,030,073 ",3341,5661
"Florence, SC",Florence,SC,"6,462",6462,"$2,700,570 ","$32,406,840 ","1,304",1304,"$644,176 ","$7,730,112 ","2,807",2807,"$10,748,039 ","$16,640,649 ",$494 ,"$2,396,753 ","8,411",8411,"$3,525,035 ","$42,300,420 ","1,304",1304,"$644,176 ","$7,730,112 ","3,769",3769,"$15,149,096 ","$22,340,264 ",$494 ,"$3,217,669 ",5158,7107
"Fort Collins, CO",Fort Collins,CO,"10,931",10931,"$10,054,127 ","$120,649,524 ","2,321",2321,"$2,235,123 ","$26,821,476 ","3,881",3881,"$41,189,316 ","$44,853,240 ",$963 ,"$3,313,962 ","19,362",19362,"$14,914,912 ","$178,978,944 ","2,321",2321,"$2,235,123 ","$26,821,476 ","6,788",6788,"$61,128,476 ","$78,442,440 ",$963 ,"$5,795,685 ",8610,17041
"Fort Wayne, IN",Fort Wayne,IN,"11,116",11116,"$5,241,831 ","$62,901,972 ","3,310",3310,"$1,936,350 ","$23,236,200 ","3,940",3940,"$20,434,398 ","$27,658,728 ",$585 ,"$3,364,003 ","18,423",18423,"$7,561,673 ","$90,740,076 ","3,310",3310,"$1,936,350 ","$23,236,200 ","6,696",6696,"$30,861,924 ","$47,008,160 ",$585 ,"$5,717,384 ",7806,15113
"Fresno, CA",Fresno,CA,"42,481",42481,"$24,720,672 ","$296,648,064 ","12,903",12903,"$7,909,539 ","$94,914,468 ","14,048",14048,"$92,074,800 ","$103,338,968 ",$613 ,"$11,994,541 ","60,607",60607,"$32,736,408 ","$392,836,896 ","12,903",12903,"$7,909,539 ","$94,914,468 ","20,581",20581,"$125,814,872 ","$151,397,072 ",$613 ,"$17,572,638 ",29578,47704
"Gadsden, AL",Gadsden,AL,"3,193",3193,"$1,043,299 ","$12,519,588 ",178,178,"$71,378 ","$856,536 ","1,220",1220,"$4,209,280 ","$5,869,292 ",$401 ,"$1,041,409 ","4,304",4304,"$1,340,498 ","$16,085,976 ",178,178,"$71,378 ","$856,536 ","1,762",1762,"$5,768,528 ","$8,479,796 ",$401 ,"$1,504,600 ",3015,4126
"Gainesville, FL",Gainesville,FL,"13,693",13693,"$10,102,818 ","$121,233,816 ","3,114",3114,"$2,229,624 ","$26,755,488 ","4,633",4633,"$38,242,948 ","$39,810,276 ",$716 ,"$3,956,054 ","20,271",20271,"$12,918,525 ","$155,022,300 ","3,114",3114,"$2,229,624 ","$26,755,488 ","6,941",6941,"$49,740,140 ","$59,635,468 ",$716 ,"$5,926,136 ",10579,17157
"Gainesville, GA",Gainesville,GA,"4,331",4331,"$2,364,403 ","$28,372,836 ",200,200,"$139,600 ","$1,675,200 ","1,579",1579,"$9,871,868 ","$13,228,387 ",$698 ,"$1,348,440 ","6,624",6624,"$3,229,196 ","$38,750,352 ",200,200,"$139,600 ","$1,675,200 ","2,461",2461,"$13,453,631 ","$20,613,528 ",$698 ,"$2,101,246 ",4131,6424
"Glens Falls, NY",Glens Falls,NY,"2,887",2887,"$1,505,411 ","$18,064,932 ",988,988,"$656,032 ","$7,872,384 ","1,070",1070,"$6,368,380 ","$8,523,315 ",$664 ,"$913,315 ","5,253",5253,"$2,296,762 ","$27,561,144 ",988,988,"$656,032 ","$7,872,384 ","2,031",2031,"$9,766,059 ","$16,183,842 ",$664 ,"$1,734,178 ",1899,4265
"Goldsboro, NC",Goldsboro,NC,"4,842",4842,"$1,931,934 ","$23,183,208 ",282,282,"$152,562 ","$1,830,744 ","1,890",1890,"$8,165,960 ","$12,267,504 ",$541 ,"$1,613,388 ","7,184",7184,"$2,629,489 ","$31,553,868 ",282,282,"$152,562 ","$1,830,744 ","2,884",2884,"$11,343,022 ","$18,725,928 ",$541 ,"$2,462,783 ",4560,6902
"Grand Junction, CO",Grand Junction,CO,"4,897",4897,"$2,638,270 ","$31,659,240 ","1,215",1215,"$767,880 ","$9,214,560 ","1,744",1744,"$10,534,353 ","$13,226,934 ",$632 ,"$1,489,094 ","7,919",7919,"$3,874,599 ","$46,495,188 ","1,215",1215,"$767,880 ","$9,214,560 ","2,994",2994,"$16,578,377 ","$22,708,692 ",$632 ,"$2,556,554 ",3682,6704
"Grand Rapids-Wyoming, MI",Grand Rapids-Wyoming,MI,"20,135",20135,"$11,942,045 ","$143,304,540 ","7,960",7960,"$5,022,760 ","$60,273,120 ","7,371",7371,"$48,906,516 ","$55,816,564 ",$631 ,"$6,293,811 ","35,708",35708,"$18,171,800 ","$218,061,600 ","7,960",7960,"$5,022,760 ","$60,273,120 ","13,357",13357,"$77,870,336 ","$101,141,712 ",$631 ,"$11,404,622 ",12175,27748
"Greensboro-High Point, NC",Greensboro-High Point,NC,"27,767",27767,"$13,536,934 ","$162,443,208 ","7,985",7985,"$4,144,215 ","$49,730,580 ","10,205",10205,"$53,152,312 ","$63,557,104 ",$519 ,"$8,713,181 ","43,551",43551,"$19,060,108 ","$228,721,296 ","7,985",7985,"$4,144,215 ","$49,730,580 ","16,537",16537,"$79,326,976 ","$102,994,640 ",$519 ,"$14,119,758 ",19782,35566
"Greenville-Anderson-Mauldin, SC",Greenville-Anderson-Mauldin,SC,"28,509",28509,"$14,674,043 ","$176,088,516 ","4,726",4726,"$2,802,518 ","$33,630,216 ","11,094",11094,"$59,443,860 ","$78,948,136 ",$593 ,"$9,472,557 ","46,479",46479,"$21,055,832 ","$252,669,984 ","4,726",4726,"$2,802,518 ","$33,630,216 ","17,917",17917,"$86,319,704 ","$127,500,088 ",$593 ,"$15,298,041 ",8917,14086
"Greenville, NC",Greenville,NC,"10,208",10208,"$5,450,435 ","$65,405,220 ","1,291",1291,"$715,214 ","$8,582,568 ","3,541",3541,"$20,701,956 ","$23,541,512 ",$554 ,"$3,023,463 ","15,377",15377,"$7,596,934 ","$91,163,208 ","1,291",1291,"$715,214 ","$8,582,568 ","5,346",5346,"$28,903,910 ","$35,538,116 ",$554 ,"$4,564,200 ",23783,41753
"Gulfport-Biloxi-Pascagoula, MS",Gulfport-Biloxi-Pascagoula,MS,"13,262",13262,"$6,986,483 ","$83,837,796 ","8,065",8065,"$4,871,260 ","$58,455,120 ","4,829",4829,"$26,442,992 ","$34,997,940 ",$604 ,"$4,122,736 ","20,129",20129,"$9,177,412 ","$110,128,944 ","8,065",8065,"$4,871,260 ","$58,455,120 ","7,431",7431,"$35,571,184 ","$53,858,212 ",$604 ,"$6,344,465 ",5197,12064
"Hanford-Corcoran, CA",Hanford-Corcoran,CA,"4,518",4518,"$2,325,849 ","$27,910,188 ",707,707,"$490,658 ","$5,887,896 ","1,579",1579,"$8,850,024 ","$13,150,913 ",$694 ,"$1,348,269 ","6,783",6783,"$3,111,204 ","$37,334,448 ",707,707,"$490,658 ","$5,887,896 ","2,488",2488,"$12,307,457 ","$20,717,380 ",$694 ,"$2,124,004 ",3811,6076
"Harrisburg-Carlisle, PA",Harrisburg-Carlisle,PA,"16,443",16443,"$8,775,431 ","$105,305,172 ","3,937",3937,"$2,555,113 ","$30,661,356 ","6,419",6419,"$37,655,236 ","$49,989,784 ",$649 ,"$5,480,454 ","28,485",28485,"$13,175,313 ","$158,103,756 ","3,937",3937,"$2,555,113 ","$30,661,356 ","11,017",11017,"$57,454,636 ","$85,799,016 ",$649 ,"$9,406,274 ",12506,24548
"Harrisonburg, VA",Harrisonburg,VA,"4,037",4037,"$2,678,432 ","$32,141,184 ",950,950,"$665,950 ","$7,991,400 ","1,465",1465,"$10,236,799 ","$12,324,692 ",$701 ,"$1,250,945 ","5,977",5977,"$3,539,891 ","$42,478,692 ",950,950,"$665,950 ","$7,991,400 ","2,201",2201,"$13,866,282 ","$18,518,092 ",$701 ,"$1,879,569 ",3087,5027
"Hartford-West Hartford-East Hartford, CT",Hartford-West Hartford-East Hartford,CT,"49,465",49465,"$30,816,560 ","$369,798,720 ","16,349",16349,"$14,256,328 ","$171,075,936 ","25,278",25278,"$168,150,928 ","$264,512,368 ",$872 ,"$21,582,884 ","78,567",78567,"$44,213,996 ","$530,567,952 ","16,349",16349,"$14,256,328 ","$171,075,936 ","39,305",39305,"$241,039,392 ","$411,284,992 ",$872 ,"$33,558,796 ",33116,62218
"Hickory-Lenoir-Morganton, NC",Hickory-Lenoir-Morganton,NC,"10,679",10679,"$4,147,089 ","$49,765,068 ","1,742",1742,"$860,548 ","$10,326,576 ","4,270",4270,"$16,839,498 ","$25,311,676 ",$494 ,"$3,645,642 ","14,369",14369,"$4,996,465 ","$59,957,580 ","1,742",1742,"$860,548 ","$10,326,576 ","6,041",6041,"$20,774,722 ","$35,811,940 ",$494 ,"$5,157,994 ",8937,12627
"Hilton Head Island-Bluffton-Beaufort, SC",Hilton Head Island-Bluffton-Beaufort,SC,"3,672",3672,"$2,665,485 ","$31,985,820 ",619,619,"$437,014 ","$5,244,168 ","1,427",1427,"$11,063,410 ","$12,090,854 ",$706 ,"$1,218,519 ","7,247",7247,"$4,475,949 ","$53,711,388 ",619,619,"$437,014 ","$5,244,168 ","2,680",2680,"$18,376,390 ","$22,706,024 ",$706 ,"$2,288,318 ",3053,6628
"Homosassa Springs, FL",Homosassa Springs,FL,"2,808",2808,"$1,329,657 ","$15,955,884 ",256,256,"$120,320 ","$1,443,840 ","1,123",1123,"$5,528,032 ","$6,335,214 ",$470 ,"$959,055 ","3,704",3704,"$1,995,593 ","$23,947,116 ",256,256,"$120,320 ","$1,443,840 ","1,541",1541,"$8,741,414 ","$8,689,126 ",$470 ,"$1,315,401 ",2552,3448
"Houma-Thibodaux, LA",Houma-Thibodaux,LA,"5,183",5183,"$2,394,665 ","$28,735,980 ","1,092",1092,"$642,096 ","$7,705,152 ","2,143",2143,"$9,057,147 ","$15,119,951 ",$588 ,"$1,829,587 ","7,519",7519,"$3,208,592 ","$38,503,104 ","1,092",1092,"$642,096 ","$7,705,152 ","3,341",3341,"$12,953,935 ","$23,571,084 ",$588 ,"$2,852,215 ",4091,6427
"Houston-The Woodlands-Sugar Land, TX",Houston-The Woodlands-Sugar Land,TX,"236,736",236736,"$149,311,440 ","$1,791,737,280 ","29,983",29983,"$25,215,703 ","$302,588,436 ","85,050",85050,"$598,153,664 ","$858,325,696 ",$841 ,"$72,616,632 ","407,643",407643,"$227,806,912 ","$2,733,682,944 ","29,983",29983,"$25,215,703 ","$302,588,436 ","143,622",143622,"$907,078,656 ","$1,449,428,736 ",$841 ,"$122,625,512 ",206753,377660
"Huntsville, AL",Huntsville,AL,"14,563",14563,"$6,577,264 ","$78,927,168 ","2,141",2141,"$1,263,190 ","$15,158,280 ","5,598",5598,"$26,718,472 ","$39,637,000 ",$590 ,"$4,780,010 ","24,489",24489,"$9,782,645 ","$117,391,740 ","2,141",2141,"$1,263,190 ","$15,158,280 ","9,252",9252,"$39,781,512 ","$65,503,452 ",$590 ,"$7,899,364 ",12422,22348
"Indianapolis-Carmel-Anderson, IN",Indianapolis-Carmel-Anderson,IN,"66,621",66621,"$39,645,016 ","$475,740,192 ","12,273",12273,"$7,425,165 ","$89,101,980 ","26,506",26506,"$175,953,296 ","$192,431,264 ",$605 ,"$22,630,818 ","114,155",114155,"$57,214,496 ","$686,573,952 ","12,273",12273,"$7,425,165 ","$89,101,980 ","45,478",45478,"$259,178,496 ","$330,170,528 ",$605 ,"$38,829,600 ",54348,101882
