,MSA,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,Number.of.Vouchers.x,Number.of.Vouchers.NUMERIC.x,Annual.Cost.of.Vouchers.x,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.x,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.x,Annual.Administrative.Cost.x,AMI.x,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,Number.of.Vouchers.y,Number.of.Vouchers.NUMERIC.y,Annual.Cost.of.Vouchers.y,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.y,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.y,Annual.Administrative.Cost.y,AMI.y
1,"Akron, OH","25,669","$12,207,987 ","$146,495,844 ","6,931","$3,992,256 ","$47,907,072 ","7,738",7738,"$40,413,200 ","$53,485,980 ",$576 ,"$6,606,896 ",30,"41,631","$17,606,394 ","$211,276,728 ","6,931","$3,992,256 ","$47,907,072 ","13,041",13041,"$61,999,864 ","$90,140,424 ",$576 ,"$11,134,664 ",50
2,"Albany-Schenectady-Troy, NY","31,425","$18,031,720 ","$216,380,640 ","10,655","$6,861,820 ","$82,341,840 ","11,794",11794,"$75,331,768 ","$91,142,520 ",$644 ,"$10,069,668 ",30,"52,836","$27,280,034 ","$327,360,408 ","10,655","$6,861,820 ","$82,341,840 ","19,838",19838,"$116,720,528 ","$153,308,784 ",$644 ,"$16,937,962 ",50
3,"Albuquerque, NM","28,177","$15,847,227 ","$190,166,724 ","7,298","$4,473,674 ","$53,684,088 ","14,898",14898,"$91,224,552 ","$109,591,160 ",$613 ,"$12,720,232 ",30,"43,713","$21,230,118 ","$254,761,416 ","7,298","$4,473,674 ","$53,684,088 ","23,657",23657,"$125,016,480 ","$174,017,360 ",$613 ,"$20,198,172 ",50
4,"Allentown-Bethlehem-Easton, PA-NJ","22,022","$12,970,150 ","$155,641,800 ","6,784","$4,782,720 ","$57,392,640 ","8,695",8695,"$55,356,244 ","$73,557,024 ",$705 ,"$7,423,607 ",30,"38,519","$20,494,042 ","$245,928,504 ","6,784","$4,782,720 ","$57,392,640 ","15,368",15368,"$89,628,880 ","$130,015,304 ",$705 ,"$13,121,556 ",50
5,"Amarillo, TX","7,952","$4,106,228 ","$49,274,736 ","3,198","$2,037,126 ","$24,445,512 ","2,907",2907,"$17,085,562 ","$22,224,624 ",$637 ,"$2,482,419 ",30,"13,587","$6,063,869 ","$72,766,428 ","3,198","$2,037,126 ","$24,445,512 ","4,925",4925,"$25,515,584 ","$37,645,268 ",$637 ,"$4,204,855 ",50
6,"Anchorage, AK","10,414","$7,290,762 ","$87,489,144 ","3,252","$1,918,680 ","$23,024,160 ","4,071",4071,"$29,197,680 ","$28,824,098 ",$590 ,"$3,476,032 ",30,"17,724","$11,491,924 ","$137,903,088 ","3,252","$1,918,680 ","$23,024,160 ","6,818",6818,"$45,962,856 ","$48,273,348 ",$590 ,"$5,821,507 ",50
7,"Ann Arbor, MI","16,764","$13,468,362 ","$161,620,344 ","3,567","$2,571,807 ","$30,861,684 ","5,900",5900,"$51,321,912 ","$51,050,952 ",$721 ,"$5,037,889 ",30,"26,266","$18,370,822 ","$220,449,864 ","3,567","$2,571,807 ","$30,861,684 ","9,037",9037,"$70,202,480 ","$78,190,504 ",$721 ,"$7,716,116 ",50
8,"Anniston-Oxford, AL","3,824","$1,610,147 ","$19,321,764 ",642,"$297,246 ","$3,566,952 ","1,314",1314,"$5,810,791 ","$7,300,056 ",$463 ,"$1,121,825 ",30,"5,352","$2,081,074 ","$24,972,888 ",642,"$297,246 ","$3,566,952 ","1,892",1892,"$7,806,106 ","$10,509,464 ",$463 ,"$1,615,026 ",50
9,"Asheville, NC","12,884","$5,626,155 ","$67,513,860 ","4,712","$3,157,040 ","$37,884,480 ","5,286",5286,"$23,438,930 ","$42,495,616 ",$670 ,"$4,512,834 ",30,"22,955","$9,320,255 ","$111,843,060 ","4,712","$3,157,040 ","$37,884,480 ","9,347",9347,"$40,358,156 ","$75,152,840 ",$670 ,"$7,980,877 ",50
10,"Atlanta-Sandy Springs-Alpharetta, GA","152,265","$105,989,696 ","$1,271,876,352 ","42,263","$35,374,131 ","$424,489,572 ","49,077",49077,"$370,298,688 ","$492,932,224 ",$837 ,"$41,902,672 ",30,"270,591","$161,612,128 ","$1,939,345,536 ","42,263","$35,374,131 ","$424,489,572 ","84,975",84975,"$566,045,440 ","$853,491,392 ",$837 ,"$72,552,720 ",50
11,"Atlantic City-Hammonton, NJ","9,031","$5,494,644 ","$65,935,728 ","2,903","$2,531,416 ","$30,376,992 ","3,398",3398,"$22,419,630 ","$35,554,884 ",$872 ,"$2,901,101 ",30,"14,133","$7,832,381 ","$93,988,572 ","2,903","$2,531,416 ","$30,376,992 ","5,430",5430,"$33,020,768 ","$56,817,388 ",$872 ,"$4,636,015 ",50
12,"Auburn-Opelika, AL","8,540","$5,255,164 ","$63,061,968 ","1,135","$627,655 ","$7,531,860 ","3,074",3074,"$20,474,046 ","$20,395,756 ",$553 ,"$2,624,186 ",30,"11,551","$6,196,129 ","$74,353,548 ","1,135","$627,655 ","$7,531,860 ","4,131",4131,"$24,080,784 ","$27,412,462 ",$553 ,"$3,526,979 ",50
13,"Augusta-Richmond County, GA-SC","16,520","$9,089,389 ","$109,072,668 ","5,743","$3,635,319 ","$43,623,828 ","6,131",6131,"$34,761,548 ","$46,571,668 ",$633 ,"$5,234,776 ",30,"25,021","$12,054,440 ","$144,653,280 ","5,743","$3,635,319 ","$43,623,828 ","9,308",9308,"$47,001,824 ","$70,703,224 ",$633 ,"$7,947,225 ",50
14,"Austin-Round Rock, TX","60,965","$50,141,892 ","$601,702,704 ","7,827","$7,498,266 ","$89,979,192 ","21,606",21606,"$197,220,480 ","$248,384,848 ",$958 ,"$18,447,588 ",30,"115,038","$77,411,136 ","$928,933,632 ","7,827","$7,498,266 ","$89,979,192 ","39,927",39927,"$306,129,920 ","$459,005,248 ",$958 ,"$34,090,404 ",50
15,"Bakersfield, CA","30,502","$17,769,824 ","$213,237,888 ","3,807","$2,173,797 ","$26,085,564 ","10,558",10558,"$69,250,640 ","$72,343,040 ",$571 ,"$9,014,479 ",30,"45,345","$23,230,350 ","$278,764,200 ","3,807","$2,173,797 ","$26,085,564 ","16,150",16150,"$93,256,624 ","$110,659,768 ",$571 ,"$13,789,027 ",50
16,"Baltimore-Columbia-Towson, MD","91,576","$65,143,564 ","$781,722,768 ","33,392","$34,193,408 ","$410,320,896 ","29,541",29541,"$227,805,152 ","$363,004,064 ","$1,024 ","$25,222,696 ",30,"148,312","$95,383,024 ","$1,144,596,288 ","33,392","$34,193,408 ","$410,320,896 ","46,993",46993,"$335,395,808 ","$577,453,504 ","$1,024 ","$40,123,336 ",50
17,"Bangor, ME","5,271","$2,458,299 ","$29,499,588 ","1,161","$717,498 ","$8,609,976 ","1,956",1956,"$9,593,838 ","$14,509,316 ",$618 ,"$1,670,469 ",30,"8,499","$3,460,521 ","$41,526,252 ","1,161","$717,498 ","$8,609,976 ","3,313",3313,"$13,862,794 ","$24,568,854 ",$618 ,"$2,828,632 ",50
18,"Barnstable Town, MA","4,583","$3,094,671 ","$37,136,052 ","2,433","$2,007,225 ","$24,086,700 ","2,106",2106,"$13,659,132 ","$20,845,822 ",$825 ,"$1,797,815 ",30,"8,419","$5,560,709 ","$66,728,508 ","2,433","$2,007,225 ","$24,086,700 ","3,630",3630,"$24,177,904 ","$35,937,688 ",$825 ,"$3,099,390 ",50
19,"Baton Rouge, LA","25,915","$16,561,503 ","$198,738,036 ","5,566","$3,912,898 ","$46,954,776 ","9,780",9780,"$64,755,716 ","$82,508,136 ",$703 ,"$8,350,672 ",30,"39,920","$22,255,634 ","$267,067,608 ","5,566","$3,912,898 ","$46,954,776 ","15,136",15136,"$88,520,248 ","$127,685,712 ",$703 ,"$12,923,108 ",50
20,"Beaumont-Port Arthur, TX","11,073","$5,007,871 ","$60,094,452 ","6,393","$3,906,123 ","$46,873,476 ","4,172",4172,"$19,361,644 ","$30,587,856 ",$611 ,"$3,561,950 ",30,"15,896","$6,582,859 ","$78,994,308 ","6,393","$3,906,123 ","$46,873,476 ","6,203",6203,"$26,162,836 ","$45,482,192 ",$611 ,"$5,296,393 ",50
21,"Bellingham, WA","7,820","$5,152,142 ","$61,825,704 ","1,823","$1,339,905 ","$16,078,860 ","2,878",2878,"$21,368,826 ","$25,381,742 ",$735 ,"$2,457,051 ",30,"13,067","$7,638,180 ","$91,658,160 ","1,823","$1,339,905 ","$16,078,860 ","4,865",4865,"$32,269,880 ","$42,910,244 ",$735 ,"$4,153,877 ",50
22,"Bend-Redmond, OR","4,449","$3,519,950 ","$42,239,400 ","1,116","$838,116 ","$10,057,392 ","1,717",1717,"$15,083,325 ","$15,471,640 ",$751 ,"$1,465,806 ",30,"7,916","$5,334,331 ","$64,011,972 ","1,116","$838,116 ","$10,057,392 ","3,014",3014,"$23,108,656 ","$27,161,572 ",$751 ,"$2,573,327 ",50
23,"Binghamton, NY","10,179","$5,399,064 ","$64,788,768 ","1,640","$941,360 ","$11,296,320 ","3,699",3699,"$21,335,152 ","$25,476,054 ",$574 ,"$3,157,914 ",30,"16,034","$7,406,800 ","$88,881,600 ","1,640","$941,360 ","$11,296,320 ","6,047",6047,"$31,237,044 ","$41,654,120 ",$574 ,"$5,163,285 ",50
24,"Birmingham-Hoover, AL","32,467","$16,391,753 ","$196,701,036 ","9,516","$6,337,656 ","$76,051,872 ","12,325",12325,"$64,908,104 ","$98,500,528 ",$666 ,"$10,523,115 ",30,"44,360","$21,159,218 ","$253,910,616 ","9,516","$6,337,656 ","$76,051,872 ","17,521",17521,"$86,462,488 ","$140,031,616 ",$666 ,"$14,960,010 ",50
25,"Bismarck, ND","3,221","$1,482,029 ","$17,784,348 ","1,784","$817,072 ","$9,804,864 ","1,323",1323,"$6,527,448 ","$7,270,407 ",$458 ,"$1,129,466 ",30,"6,177","$2,792,243 ","$33,506,916 ","1,784","$817,072 ","$9,804,864 ","2,539",2539,"$13,379,160 ","$13,952,410 ",$458 ,"$2,167,523 ",50
26,"Blacksburg-Christiansburg-Radford, VA","7,471","$6,361,197 ","$76,334,364 ",938,"$715,694 ","$8,588,328 ","2,527",2527,"$23,072,186 ","$23,135,828 ",$763 ,"$2,157,449 ",30,"9,765","$7,283,809 ","$87,405,708 ",938,"$715,694 ","$8,588,328 ","3,511",3511,"$26,595,814 ","$32,142,194 ",$763 ,"$2,997,305 ",50
27,"Bloomington, IL","7,432","$5,521,810 ","$66,261,720 ",760,"$424,080 ","$5,088,960 ","2,553",2553,"$21,442,900 ","$17,094,288 ",$558 ,"$2,179,700 ",30,"10,091","$6,569,063 ","$78,828,756 ",760,"$424,080 ","$5,088,960 ","3,478",3478,"$25,460,000 ","$23,286,842 ",$558 ,"$2,969,316 ",50
28,"Bloomington, IN","8,527","$6,670,435 ","$80,045,220 ","1,478","$128,586 ","$1,543,032 ","2,770",2770,"$24,363,242 ","$2,891,821 ",$87 ,"$2,365,005 ",30,"12,813","$8,683,602 ","$104,203,224 ","1,478","$128,586 ","$1,543,032 ","4,273",4273,"$32,126,860 ","$4,460,491 ",$87 ,"$3,647,904 ",50
29,"Boise City, ID","18,009","$10,515,457 ","$126,185,484 ","2,973","$1,890,828 ","$22,689,936 ","6,750",6750,"$45,119,964 ","$51,512,844 ",$636 ,"$5,762,865 ",30,"30,363","$15,051,698 ","$180,620,376 ","2,973","$1,890,828 ","$22,689,936 ","11,357",11357,"$64,615,784 ","$86,679,624 ",$636 ,"$9,697,056 ",50
30,"Boston-Cambridge-Newton, MA-NH","202,729","$157,664,240 ","$1,891,970,880 ","65,649","$77,203,224 ","$926,438,688 ","63,394",63394,"$521,372,928 ","$894,621,376 ","$1,176 ","$54,126,748 ",30,"307,911","$224,662,368 ","$2,695,948,416 ","65,649","$77,203,224 ","$926,438,688 ","93,507",93507,"$741,340,224 ","$1,319,573,120 ","$1,176 ","$79,837,360 ",50
31,"Bremerton-Silverdale, WA","6,491","$4,613,822 ","$55,365,864 ","2,137","$1,788,669 ","$21,464,028 ","2,457",2457,"$19,742,550 ","$24,676,794 ",$837 ,"$2,097,700 ",30,"11,199","$6,962,914 ","$83,554,968 ","2,137","$1,788,669 ","$21,464,028 ","4,266",4266,"$30,326,614 ","$42,843,832 ",$837 ,"$3,642,024 ",50
32,"Bridgeport-Stamford-Norwalk, CT","33,255","$25,717,872 ","$308,614,464 ","9,172","$11,327,420 ","$135,929,040 ","9,085",9085,"$73,437,248 ","$134,641,600 ","$1,235 ","$7,756,973 ",30,"53,650","$38,859,060 ","$466,308,720 ","9,172","$11,327,420 ","$135,929,040 ","14,030",14030,"$110,966,744 ","$207,921,024 ","$1,235 ","$11,978,748 ",50
33,"Brownsville-Harlingen, TX","17,136","$6,256,474 ","$75,077,688 ","4,954","$2,313,518 ","$27,762,216 ","6,280",6280,"$24,524,494 ","$35,194,400 ",$467 ,"$5,362,122 ",30,"21,337","$7,408,074 ","$88,896,888 ","4,954","$2,313,518 ","$27,762,216 ","8,064",8064,"$29,383,338 ","$45,188,968 ",$467 ,"$6,884,867 ",50
34,"Buffalo-Cheektowaga-Niagara Falls, NY","50,084","$24,085,908 ","$289,030,896 ","14,462","$8,113,182 ","$97,358,184 ","18,695",18695,"$100,055,504 ","$125,853,200 ",$561 ,"$15,961,781 ",30,"77,473","$34,115,888 ","$409,390,656 ","14,462","$8,113,182 ","$97,358,184 ","29,503",29503,"$146,254,048 ","$198,611,728 ",$561 ,"$25,189,644 ",50
35,"Burlington-South Burlington, VT","8,001","$5,839,701 ","$70,076,412 ","4,172","$3,671,360 ","$44,056,320 ","3,096",3096,"$24,690,982 ","$32,693,858 ",$880 ,"$2,643,404 ",30,"12,993","$8,084,363 ","$97,012,356 ","4,172","$3,671,360 ","$44,056,320 ","4,931",4931,"$34,200,472 ","$52,070,508 ",$880 ,"$4,210,069 ",50
36,"Burlington, NC","5,571","$2,618,748 ","$31,424,976 ","1,038","$497,202 ","$5,966,424 ","1,985",1985,"$10,307,132 ","$11,411,558 ",$479 ,"$1,695,077 ",30,"8,562","$3,578,933 ","$42,947,196 ","1,038","$497,202 ","$5,966,424 ","3,175",3175,"$14,600,911 ","$18,249,944 ",$479 ,"$2,710,853 ",50
37,"Canton-Massillon, OH","12,430","$4,800,154 ","$57,601,848 ","1,687","$826,630 ","$9,919,560 ","4,780",4780,"$19,681,410 ","$28,104,346 ",$490 ,"$4,080,913 ",30,"20,003","$6,848,080 ","$82,176,960 ","1,687","$826,630 ","$9,919,560 ","7,952",7952,"$29,824,700 ","$46,755,212 ",$490 ,"$6,789,128 ",50
38,"Cape Coral-Fort Myers, FL","13,844","$11,155,066 ","$133,860,792 ","2,640","$2,061,840 ","$24,742,080 ","5,313",5313,"$48,412,172 ","$49,792,404 ",$781 ,"$4,536,199 ",30,"23,084","$17,038,898 ","$204,466,776 ","2,640","$2,061,840 ","$24,742,080 ","9,147",9147,"$78,042,848 ","$85,724,640 ",$781 ,"$7,809,705 ",50
39,"Champaign-Urbana, IL","13,726","$10,282,315 ","$123,387,780 ","2,237","$735,973 ","$8,831,676 ","4,962",4962,"$49,411,732 ","$19,589,582 ",$329 ,"$4,236,520 ",30,"19,940","$12,359,197 ","$148,310,364 ","2,237","$735,973 ","$8,831,676 ","7,057",7057,"$58,357,556 ","$27,860,284 ",$329 ,"$6,025,175 ",50
40,"Charleston-North Charleston, SC","19,644","$14,086,182 ","$169,034,184 ","5,563","$3,827,344 ","$45,928,128 ","7,474",7474,"$55,187,352 ","$61,707,428 ",$688 ,"$6,381,592 ",30,"33,645","$21,237,618 ","$254,851,416 ","5,563","$3,827,344 ","$45,928,128 ","12,646",12646,"$85,387,424 ","$104,407,736 ",$688 ,"$10,797,525 ",50
41,"Charleston, WV","6,366","$2,633,310 ","$31,599,720 ","3,699","$2,130,624 ","$25,567,488 ","2,588",2588,"$10,528,148 ","$17,887,088 ",$576 ,"$2,209,516 ",30,"8,679","$3,340,034 ","$40,080,408 ","3,699","$2,130,624 ","$25,567,488 ","3,659",3659,"$13,743,219 ","$25,291,062 ",$576 ,"$3,124,098 ",50
42,"Charlotte-Concord-Gastonia, NC-SC","69,352","$39,920,168 ","$479,042,016 ","14,554","$9,227,236 ","$110,726,832 ","26,471",26471,"$160,447,984 ","$201,388,848 ",$634 ,"$22,600,922 ",30,"122,505","$61,987,572 ","$743,850,864 ","14,554","$9,227,236 ","$110,726,832 ","46,177",46177,"$254,524,960 ","$351,311,008 ",$634 ,"$39,425,980 ",50
43,"Chattanooga, TN-GA","15,780","$7,381,362 ","$88,576,344 ","4,122","$2,382,516 ","$28,590,192 ","6,199",6199,"$30,253,914 ","$42,998,332 ",$578 ,"$5,293,023 ",30,"26,257","$10,768,565 ","$129,222,780 ","4,122","$2,382,516 ","$28,590,192 ","10,472",10472,"$45,776,628 ","$72,636,800 ",$578 ,"$8,941,469 ",50
44,"Chicago-Naperville-Elgin, IL-IN-WI","273,086","$190,837,728 ","$2,290,052,736 ","92,516","$85,392,268 ","$1,024,707,216 ","112,064",112064,"$849,289,600 ","$1,241,216,384 ",$923 ,"$95,681,016 ",30,"443,836","$273,518,016 ","$3,282,216,192 ","92,516","$85,392,268 ","$1,024,707,216 ","183,743",183743,"$1,252,912,128 ","$2,035,141,248 ",$923 ,"$156,881,904 ",50
45,"Chico, CA","9,090","$6,363,528 ","$76,362,336 ","2,130","$1,188,540 ","$14,262,480 ","3,328",3328,"$25,541,956 ","$22,281,522 ",$558 ,"$2,841,127 ",30,"13,825","$8,478,644 ","$101,743,728 ","2,130","$1,188,540 ","$14,262,480 ","5,223",5223,"$34,736,076 ","$34,972,216 ",$558 ,"$4,459,323 ",50
46,"Cincinnati, OH-KY-IN","59,724","$30,964,806 ","$371,577,672 ","20,103","$12,906,126 ","$154,873,512 ","21,930",21930,"$123,808,296 ","$168,948,624 ",$642 ,"$18,724,044 ",30,"81,667","$38,701,704 ","$464,420,448 ","20,103","$12,906,126 ","$154,873,512 ","31,042",31042,"$160,967,344 ","$239,150,192 ",$642 ,"$26,504,260 ",50
47,"Clarksville, TN-KY","10,114","$5,268,193 ","$63,218,316 ","1,859","$1,007,578 ","$12,090,936 ","3,473",3473,"$19,289,954 ","$22,585,550 ",$542 ,"$2,964,909 ",30,"14,252","$6,789,710 ","$81,476,520 ","1,859","$1,007,578 ","$12,090,936 ","5,041",5041,"$25,367,956 ","$32,787,216 ",$542 ,"$4,304,129 ",50
48,"Cleveland-Elyria, OH","84,866","$40,273,144 ","$483,277,728 ","21,783","$14,202,516 ","$170,430,192 ","42,115",42115,"$214,156,752 ","$329,507,744 ",$652 ,"$35,958,204 ",30,"133,201","$57,356,184 ","$688,274,208 ","21,783","$14,202,516 ","$170,430,192 ","66,306",66306,"$315,531,712 ","$518,776,512 ",$652 ,"$56,612,544 ",50
49,"Coeur d'Alene, ID","3,746","$2,214,750 ","$26,577,000 ","1,045","$590,425 ","$7,085,100 ","1,354",1354,"$9,180,764 ","$9,180,125 ",$565 ,"$1,156,060 ",30,"6,039","$3,078,282 ","$36,939,384 ","1,045","$590,425 ","$7,085,100 ","2,258",2258,"$13,464,252 ","$15,311,842 ",$565 ,"$1,928,231 ",50
50,"College Station-Bryan, TX","13,368","$10,463,064 ","$125,556,768 ","1,866","$1,026,300 ","$12,315,600 ","4,394",4394,"$38,369,624 ","$29,001,466 ",$550 ,"$3,751,779 ",30,"19,277","$13,232,043 ","$158,784,516 ","1,866","$1,026,300 ","$12,315,600 ","6,368",6368,"$49,509,360 ","$42,031,872 ",$550 ,"$5,437,460 ",50
51,"Colorado Springs, CO","17,485","$12,231,174 ","$146,774,088 ","3,187","$2,540,039 ","$30,480,468 ","6,406",6406,"$50,374,372 ","$61,264,028 ",$797 ,"$5,469,243 ",30,"34,310","$20,233,502 ","$242,802,024 ","3,187","$2,540,039 ","$30,480,468 ","12,237",12237,"$82,837,632 ","$117,036,760 ",$797 ,"$10,448,260 ",50
52,"Columbia, MO","9,195","$6,882,231 ","$82,586,772 ","1,929","$945,210 ","$11,342,520 ","2,994",2994,"$26,418,796 ","$17,604,272 ",$490 ,"$2,556,242 ",30,"14,896","$9,080,975 ","$108,971,700 ","1,929","$945,210 ","$11,342,520 ","4,969",4969,"$35,592,976 ","$29,218,454 ",$490 ,"$4,242,688 ",50
53,"Columbia, SC","24,648","$15,270,806 ","$183,249,672 ","5,522","$3,517,514 ","$42,210,168 ","9,191",9191,"$62,207,696 ","$70,256,160 ",$637 ,"$7,847,385 ",30,"38,497","$20,544,958 ","$246,539,496 ","5,522","$3,517,514 ","$42,210,168 ","14,421",14421,"$84,800,208 ","$110,231,224 ",$637 ,"$12,312,470 ",50
54,"Columbus, OH","67,695","$37,628,220 ","$451,538,640 ","18,632","$11,961,744 ","$143,540,928 ","24,416",24416,"$150,782,224 ","$188,101,792 ",$642 ,"$20,846,726 ",30,"112,336","$54,391,396 ","$652,696,752 ","18,632","$11,961,744 ","$143,540,928 ","40,403",40403,"$221,067,856 ","$311,263,264 ",$642 ,"$34,496,324 ",50
55,"Corpus Christi, TX","15,169","$8,055,667 ","$96,668,004 ","4,036","$2,663,760 ","$31,965,120 ","5,753",5753,"$31,319,284 ","$45,566,216 ",$660 ,"$4,912,234 ",30,"23,326","$11,282,507 ","$135,390,084 ","4,036","$2,663,760 ","$31,965,120 ","8,700",8700,"$44,636,620 ","$68,903,600 ",$660 ,"$7,428,105 ",50
56,"Dallas-Fort Worth-Arlington, TX","192,375","$131,715,408 ","$1,580,584,896 ","48,976","$49,220,880 ","$590,650,560 ","66,731",66731,"$514,561,920 ","$804,780,736 ","$1,005 ","$56,975,940 ",30,"352,247","$205,014,528 ","$2,460,174,336 ","48,976","$49,220,880 ","$590,650,560 ","119,784",119784,"$805,982,144 ","$1,444,596,864 ","$1,005 ","$102,272,904 ",50
57,"Daphne-Fairhope-Foley, AL","3,904","$2,548,831 ","$30,585,972 ",277,"$291,127 ","$3,493,524 ","1,550",1550,"$10,465,012 ","$19,551,326 ","$1,051 ","$1,323,590 ",30,"7,072","$3,703,902 ","$44,446,824 ",277,"$291,127 ","$3,493,524 ","2,946",2946,"$15,385,695 ","$37,153,428 ","$1,051 ","$2,515,221 ",50
58,"Dayton, OH","30,823","$14,133,015 ","$169,596,180 ",, $-   ,#VALUE!,"9,811",9811,"$49,169,736 ", $-   ,,"$8,376,337 ",30,"49,870","$20,263,704 ","$243,164,448 ",, $-   ,#VALUE!,"16,185",16185,"$72,977,168 ", $-   ,,"$13,818,997 ",50
59,"Decatur, AL","3,875","$1,243,054 ","$14,916,648 ",805,"$404,110 ","$4,849,320 ","1,619",1619,"$4,942,995 ","$9,753,576 ",$502 ,"$1,382,420 ",30,"5,918","$1,727,789 ","$20,733,468 ",805,"$404,110 ","$4,849,320 ","2,488",2488,"$6,998,483 ","$14,986,810 ",$502 ,"$2,124,151 ",50
60,"Decatur, IL","5,033","$1,995,276 ","$23,943,312 ","1,242","$701,730 ","$8,420,760 ","1,799",1799,"$8,235,188 ","$12,198,313 ",$565 ,"$1,536,142 ",30,"7,399","$2,600,174 ","$31,202,088 ","1,242","$701,730 ","$8,420,760 ","2,672",2672,"$10,836,568 ","$18,114,926 ",$565 ,"$2,281,225 ",50
61,"Deltona-Daytona Beach-Ormond Beach, FL","15,315","$11,386,923 ","$136,643,076 ","3,497","$2,724,163 ","$32,689,956 ","5,849",5849,"$48,899,400 ","$54,675,668 ",$779 ,"$4,993,863 ",30,"23,368","$15,647,119 ","$187,765,428 ","3,497","$2,724,163 ","$32,689,956 ","9,316",9316,"$69,376,784 ","$87,087,584 ",$779 ,"$7,954,242 ",50
62,"Denver-Aurora-Lakewood, CO","75,689","$60,220,604 ","$722,647,248 ","19,450","$21,570,050 ","$258,840,600 ","28,862",28862,"$254,031,344 ","$384,093,408 ","$1,109 ","$24,642,530 ",30,"140,244","$98,449,728 ","$1,181,396,736 ","19,450","$21,570,050 ","$258,840,600 ","51,442",51442,"$412,504,096 ","$684,583,488 ","$1,109 ","$43,921,268 ",50
