,MSA,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,Number.of.Vouchers.x,Number.of.Vouchers.NUMERIC.x,Annual.Cost.of.Vouchers.x,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.x,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.x,Annual.Administrative.Cost.x,AMI.x,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,Number.of.Vouchers.y,Number.of.Vouchers.NUMERIC.y,Annual.Cost.of.Vouchers.y,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.y,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.y,Annual.Administrative.Cost.y,AMI.y
195,"Redding, CA","6,056","$3,544,262 ","$42,531,144 ","2,401","$1,164,485 ","$13,973,820 ","2,302",2302,"$14,789,253 ","$13,399,921 ",$485 ,"$1,965,805 ",30,"9,367","$5,099,574 ","$61,194,888 ","2,401","$1,164,485 ","$13,973,820 ","3,673",3673,"$22,290,612 ","$21,379,398 ",$485 ,"$3,136,416 ",50
196,"Reno, NV","14,174","$8,333,493 ","$100,001,916 ","2,830","$1,794,220 ","$21,530,640 ","5,407",5407,"$35,491,928 ","$41,135,924 ",$634 ,"$4,616,491 ",30,"25,989","$13,228,169 ","$158,738,028 ","2,830","$1,794,220 ","$21,530,640 ","9,826",9826,"$56,834,216 ","$74,757,472 ",$634 ,"$8,389,679 ",50
197,"Richmond, VA","38,661","$24,781,736 ","$297,380,832 ","7,726","$5,840,856 ","$70,090,272 ","14,529",14529,"$103,047,016 ","$131,803,192 ",$756 ,"$12,404,639 ",30,"65,955","$37,096,200 ","$445,154,400 ","7,726","$5,840,856 ","$70,090,272 ","24,853",24853,"$155,837,552 ","$225,469,856 ",$756 ,"$21,220,064 ",50
198,"Riverside-San Bernardino-Ontario, CA","111,592","$88,475,248 ","$1,061,702,976 ","21,077","$17,409,602 ","$208,915,224 ","40,788",40788,"$354,866,208 ","$404,291,520 ",$826 ,"$34,825,276 ",30,"177,623","$126,505,096 ","$1,518,061,152 ","21,077","$17,409,602 ","$208,915,224 ","66,096",66096,"$519,444,512 ","$655,140,224 ",$826 ,"$56,433,140 ",50
199,"Roanoke, VA","11,472","$5,510,895 ","$66,130,740 ","2,285","$1,434,980 ","$17,219,760 ","4,196",4196,"$22,544,200 ","$31,621,580 ",$628 ,"$3,582,646 ",30,"17,382","$7,746,015 ","$92,952,180 ","2,285","$1,434,980 ","$17,219,760 ","6,584",6584,"$33,241,664 ","$49,615,208 ",$628 ,"$5,621,280 ",50
200,"Rochester, NY","41,586","$22,588,912 ","$271,066,944 ","13,515","$8,960,445 ","$107,525,340 ","15,341",15341,"$93,079,744 ","$122,054,240 ",$663 ,"$13,098,433 ",30,"66,749","$32,674,112 ","$392,089,344 ","13,515","$8,960,445 ","$107,525,340 ","25,268",25268,"$140,794,256 ","$201,034,512 ",$663 ,"$21,574,318 ",50
201,"Rockford, IL","11,638","$5,556,478 ","$66,677,736 ","3,056","$1,509,664 ","$18,115,968 ","4,174",4174,"$21,510,528 ","$24,745,086 ",$494 ,"$3,564,036 ",30,"18,047","$7,981,882 ","$95,782,584 ","3,056","$1,509,664 ","$18,115,968 ","6,761",6761,"$33,410,128 ","$40,076,708 ",$494 ,"$5,772,250 ",50
202,"Rocky Mount, NC","5,605","$2,200,552 ","$26,406,624 ",893,"$412,566 ","$4,950,792 ","2,391",2391,"$9,178,223 ","$13,256,747 ",$462 ,"$2,041,620 ",30,"7,629","$2,780,640 ","$33,367,680 ",893,"$412,566 ","$4,950,792 ","3,326",3326,"$12,056,906 ","$18,436,706 ",$462 ,"$2,839,366 ",50
203,"Sacramento--Roseville--Arden-Arcade, CA","77,103","$60,616,944 ","$727,403,328 ","15,668","$13,991,524 ","$167,898,288 ","33,672",33672,"$291,597,504 ","$360,827,520 ",$893 ,"$28,749,360 ",30,"127,757","$87,677,496 ","$1,052,129,952 ","15,668","$13,991,524 ","$167,898,288 ","55,242",55242,"$426,241,536 ","$591,972,608 ",$893 ,"$47,166,120 ",50
204,"Saginaw, MI","6,788","$3,041,814 ","$36,501,768 ","2,018","$986,802 ","$11,841,624 ","2,441",2441,"$11,869,623 ","$14,324,310 ",$489 ,"$2,084,226 ",30,"9,468","$3,897,768 ","$46,773,216 ","2,018","$986,802 ","$11,841,624 ","3,454",3454,"$15,755,355 ","$20,269,784 ",$489 ,"$2,949,309 ",50
205,"Salinas, CA","12,521","$10,533,889 ","$126,406,668 ","4,545","$5,090,400 ","$61,084,800 ","4,674",4674,"$42,955,336 ","$62,818,440 ","$1,120 ","$3,990,700 ",30,"24,189","$18,156,510 ","$217,878,120 ","4,545","$5,090,400 ","$61,084,800 ","8,652",8652,"$73,038,680 ","$116,289,184 ","$1,120 ","$7,387,565 ",50
206,"Salisbury, MD-DE","9,390","$5,397,635 ","$64,771,620 ","1,451","$1,049,073 ","$12,588,876 ","3,580",3580,"$21,570,908 ","$31,062,022 ",$723 ,"$3,056,831 ",30,"16,304","$8,424,465 ","$101,093,580 ","1,451","$1,049,073 ","$12,588,876 ","6,314",6314,"$34,236,416 ","$54,784,008 ",$723 ,"$5,391,325 ",50
207,"Salt Lake City, UT","23,189","$14,341,856 ","$172,102,272 ","6,464","$5,184,128 ","$62,209,536 ","8,637",8637,"$58,031,120 ","$83,118,232 ",$802 ,"$7,373,980 ",30,"40,406","$22,061,160 ","$264,733,920 ","6,464","$5,184,128 ","$62,209,536 ","14,817",14817,"$89,739,272 ","$142,599,984 ",$802 ,"$12,651,007 ",50
208,"San Angelo, TX","2,623","$1,214,885 ","$14,578,620 ",832,"$457,600 ","$5,491,200 ","1,017",1017,"$4,690,075 ","$6,709,909 ",$550 ,"$868,028 ",30,"4,711","$2,043,031 ","$24,516,372 ",832,"$457,600 ","$5,491,200 ","1,862",1862,"$8,233,819 ","$12,292,202 ",$550 ,"$1,590,183 ",50
209,"San Antonio-New Braunfels, TX","63,799","$36,342,288 ","$436,107,456 ","16,965","$11,213,865 ","$134,566,380 ","23,902",23902,"$144,548,352 ","$189,590,272 ",$661 ,"$20,407,724 ",30,"104,137","$53,050,300 ","$636,603,600 ","16,965","$11,213,865 ","$134,566,380 ","38,488",38488,"$212,875,744 ","$305,287,712 ",$661 ,"$32,861,532 ",50
210,"San Diego-Carlsbad, CA","120,285","$117,922,200 ","$1,415,066,400 ","31,412","$30,595,288 ","$367,143,456 ","58,069",58069,"$631,116,992 ","$678,713,920 ",$974 ,"$49,580,140 ",30,"212,827","$186,366,096 ","$2,236,393,152 ","31,412","$30,595,288 ","$367,143,456 ","99,067",99067,"$984,831,104 ","$1,157,896,064 ",$974 ,"$84,584,472 ",50
211,"San Francisco-Oakland-Hayward, CA","175,883","$164,242,240 ","$1,970,906,880 ","56,721","$104,253,198 ","$1,251,038,376 ","38,584",38584,"$387,844,672 ","$851,019,648 ","$1,838 ","$32,943,826 ",30,"276,025","$243,526,096 ","$2,922,313,152 ","56,721","$104,253,198 ","$1,251,038,376 ","58,093",58093,"$568,197,120 ","$1,281,308,672 ","$1,838 ","$49,600,748 ",50
212,"San Jose-Sunnyvale-Santa Clara, CA","41,956","$48,313,968 ","$579,767,616 ","18,977","$35,809,599 ","$429,715,188 ","17,536",17536,"$217,972,064 ","$397,080,448 ","$1,887 ","$14,972,234 ",30,"72,864","$77,804,696 ","$933,656,352 ","18,977","$35,809,599 ","$429,715,188 ","28,759",28759,"$340,669,792 ","$651,225,216 ","$1,887 ","$24,554,964 ",50
213,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","9,329","$9,606,548 ","$115,278,576 ","2,423","$2,350,310 ","$28,203,720 ","3,412",3412,"$40,207,760 ","$39,712,968 ",$970 ,"$2,913,001 ",30,"15,156","$13,610,858 ","$163,330,296 ","2,423","$2,350,310 ","$28,203,720 ","5,535",5535,"$57,595,388 ","$64,425,804 ",$970 ,"$4,725,721 ",50
214,"Santa Cruz-Watsonville, CA","12,259","$12,771,853 ","$153,262,236 ","4,854","$7,732,422 ","$92,789,064 ","4,658",4658,"$52,938,604 ","$89,040,688 ","$1,593 ","$3,976,974 ",30,"18,804","$17,245,988 ","$206,951,856 ","4,854","$7,732,422 ","$92,789,064 ","7,153",7153,"$73,954,784 ","$136,738,240 ","$1,593 ","$6,107,370 ",50
215,"Santa Fe, NM","3,492","$2,072,698 ","$24,872,376 ","1,109","$784,063 ","$9,408,756 ","1,445",1445,"$9,229,788 ","$12,259,714 ",$707 ,"$1,233,789 ",30,"6,007","$3,308,477 ","$39,701,724 ","1,109","$784,063 ","$9,408,756 ","2,417",2417,"$14,564,141 ","$20,506,832 ",$707 ,"$2,063,760 ",50
216,"Santa Maria-Santa Barbara, CA","17,236","$15,837,556 ","$190,050,672 ","6,845","$8,864,275 ","$106,371,300 ","6,709",6709,"$71,526,992 ","$104,263,456 ","$1,295 ","$5,728,519 ",30,"30,890","$25,382,596 ","$304,591,152 ","6,845","$8,864,275 ","$106,371,300 ","11,801",11801,"$114,273,328 ","$183,385,632 ","$1,295 ","$10,075,707 ",50
217,"Santa Rosa, CA","13,896","$12,565,715 ","$150,788,580 ","4,930","$5,930,790 ","$71,169,480 ","5,848",5848,"$55,648,440 ","$84,421,504 ","$1,203 ","$4,993,068 ",30,"26,069","$20,609,116 ","$247,309,392 ","4,930","$5,930,790 ","$71,169,480 ","10,491",10491,"$90,297,856 ","$151,443,920 ","$1,203 ","$8,957,074 ",50
218,"Scranton--Wilkes-Barre--Hazleton, PA","17,773","$8,663,700 ","$103,964,400 ","5,039","$2,625,319 ","$31,503,828 ","6,843",6843,"$35,463,808 ","$42,781,912 ",$521 ,"$5,842,551 ",30,"27,601","$12,028,708 ","$144,344,496 ","5,039","$2,625,319 ","$31,503,828 ","11,128",11128,"$51,447,844 ","$69,574,432 ",$521 ,"$9,501,495 ",50
219,"Seattle-Tacoma-Bellevue, WA","126,070","$100,730,168 ","$1,208,762,016 ","37,481","$41,191,619 ","$494,299,428 ","62,550",62550,"$542,189,952 ","$824,912,256 ","$1,099 ","$53,406,000 ",30,"221,162","$156,769,952 ","$1,881,239,424 ","37,481","$41,191,619 ","$494,299,428 ","105,696",105696,"$837,852,224 ","$1,393,917,312 ","$1,099 ","$90,244,200 ",50
220,"Sebastian-Vero Beach, FL","2,189","$1,434,639 ","$17,215,668 ",389,"$214,339 ","$2,572,068 ",912,912,"$6,655,012 ","$6,029,646 ",$551 ,"$778,610 ",30,"4,451","$2,299,174 ","$27,590,088 ",389,"$214,339 ","$2,572,068 ","1,862",1862,"$10,869,450 ","$12,314,825 ",$551 ,"$1,590,218 ",50
221,"Sheboygan, WI","2,375","$976,858 ","$11,722,296 ",361,"$178,334 ","$2,140,008 ",881,881,"$4,043,938 ","$5,225,507 ",$494 ,"$752,630 ",30,"5,642","$1,880,982 ","$22,571,784 ",361,"$178,334 ","$2,140,008 ","2,241",2241,"$8,406,584 ","$13,284,459 ",$494 ,"$1,913,361 ",50
222,"Shreveport-Bossier City, LA","19,304","$8,965,757 ","$107,589,084 ","5,036","$2,598,576 ","$31,182,912 ","7,195",7195,"$34,926,676 ","$44,550,772 ",$516 ,"$6,143,071 ",30,"26,404","$11,586,098 ","$139,033,176 ","5,036","$2,598,576 ","$31,182,912 ","10,102",10102,"$46,786,408 ","$62,554,232 ",$516 ,"$8,625,554 ",50
223,"Spartanburg, SC","7,922","$4,154,425 ","$49,853,100 ","2,582","$1,371,042 ","$16,452,504 ","3,071",3071,"$16,864,472 ","$19,569,578 ",$531 ,"$2,622,207 ",30,"12,035","$5,453,124 ","$65,437,488 ","2,582","$1,371,042 ","$16,452,504 ","4,816",4816,"$22,980,882 ","$30,688,430 ",$531 ,"$4,112,067 ",50
224,"Spokane-Spokane Valley, WA","20,128","$10,559,443 ","$126,713,316 ","4,914","$2,604,420 ","$31,253,040 ","7,416",7416,"$42,150,964 ","$47,165,424 ",$530 ,"$6,331,811 ",30,"32,510","$14,895,194 ","$178,742,328 ","4,914","$2,604,420 ","$31,253,040 ","12,328",12328,"$61,846,128 ","$78,406,800 ",$530 ,"$10,525,866 ",50
225,"Springfield, IL","7,656","$3,847,446 ","$46,169,352 ","2,491","$1,392,469 ","$16,709,628 ","2,770",2770,"$15,213,798 ","$18,581,100 ",$559 ,"$2,365,046 ",30,"12,268","$5,555,437 ","$66,665,244 ","2,491","$1,392,469 ","$16,709,628 ","4,548",4548,"$22,985,976 ","$30,510,324 ",$559 ,"$3,883,426 ",50
226,"Springfield, MA","30,968","$15,054,918 ","$180,659,016 ","12,843","$7,872,759 ","$94,473,108 ","11,935",11935,"$63,097,424 ","$87,790,504 ",$613 ,"$10,189,832 ",30,"47,401","$22,232,614 ","$266,791,368 ","12,843","$7,872,759 ","$94,473,108 ","17,937",17937,"$94,281,224 ","$131,944,816 ",$613 ,"$15,314,818 ",50
227,"Springfield, MO","15,121","$7,070,813 ","$84,849,756 ","1,316","$515,872 ","$6,190,464 ","5,419",5419,"$28,063,994 ","$25,490,738 ",$392 ,"$4,626,754 ",30,"25,479","$10,047,817 ","$120,573,804 ","1,316","$515,872 ","$6,190,464 ","9,445",9445,"$41,275,824 ","$44,431,176 ",$392 ,"$8,064,580 ",50
228,"Springfield, OH","4,175","$1,797,503 ","$21,570,036 ","1,309","$579,887 ","$6,958,644 ","1,521",1521,"$7,449,820 ","$8,084,911 ",$443 ,"$1,298,529 ",30,"7,354","$2,747,219 ","$32,966,628 ","1,309","$579,887 ","$6,958,644 ","2,860",2860,"$11,923,522 ","$15,206,227 ",$443 ,"$2,442,293 ",50
229,"St. George, UT","2,702","$1,757,081 ","$21,084,972 ",254,"$164,592 ","$1,975,104 ","1,088",1088,"$7,320,872 ","$8,463,982 ",$648 ,"$929,351 ",30,"4,565","$2,458,078 ","$29,496,936 ",254,"$164,592 ","$1,975,104 ","1,818",1818,"$10,262,222 ","$14,135,949 ",$648 ,"$1,552,137 ",50
230,"St. Joseph, MO-KS","3,513","$1,500,004 ","$18,000,048 ","1,144","$520,520 ","$6,246,240 ","1,291",1291,"$5,850,210 ","$7,050,991 ",$455 ,"$1,102,602 ",30,"6,023","$2,229,192 ","$26,750,304 ","1,144","$520,520 ","$6,246,240 ","2,430",2430,"$9,343,761 ","$13,268,933 ",$455 ,"$2,074,936 ",50
231,"St. Louis, MO-IL","77,739","$43,056,224 ","$516,674,688 ","22,063","$13,877,627 ","$166,531,524 ","21,814",21814,"$131,458,416 ","$164,653,440 ",$629 ,"$18,625,166 ",30,"125,773","$60,693,740 ","$728,324,880 ","22,063","$13,877,627 ","$166,531,524 ","36,208",36208,"$193,661,632 ","$273,300,352 ",$629 ,"$30,915,020 ",50
232,"State College, PA","7,721","$6,278,458 ","$75,341,496 ",675,"$415,125 ","$4,981,500 ","2,800",2800,"$25,793,824 ","$20,663,538 ",$615 ,"$2,390,615 ",30,"12,447","$8,691,260 ","$104,295,120 ",675,"$415,125 ","$4,981,500 ","4,585",4585,"$35,905,392 ","$33,835,784 ",$615 ,"$3,914,543 ",50
233,"Stockton-Lodi, CA","21,060","$15,557,077 ","$186,684,924 ","5,158","$4,198,612 ","$50,383,344 ","7,589",7589,"$62,457,272 ","$74,131,432 ",$814 ,"$6,479,747 ",30,"34,353","$22,513,824 ","$270,165,888 ","5,158","$4,198,612 ","$50,383,344 ","12,577",12577,"$93,011,752 ","$122,847,848 ",$814 ,"$10,737,994 ",50
234,"Syracuse, NY","26,171","$13,931,806 ","$167,181,672 ","7,912","$4,612,696 ","$55,352,352 ","13,816",13816,"$79,838,632 ","$96,659,528 ",$583 ,"$11,796,579 ",30,"40,852","$19,329,402 ","$231,952,824 ","7,912","$4,612,696 ","$55,352,352 ","21,743",21743,"$112,675,256 ","$152,116,304 ",$583 ,"$18,564,670 ",50
235,"Tampa-St. Petersburg-Clearwater, FL","80,929","$57,266,808 ","$687,201,696 ","21,651","$17,927,028 ","$215,124,336 ","17,088",17088,"$131,772,064 ","$169,783,152 ",$828 ,"$14,589,630 ",30,"135,677","$83,184,408 ","$998,212,896 ","21,651","$17,927,028 ","$215,124,336 ","28,953",28953,"$197,307,664 ","$287,673,888 ",$828 ,"$24,720,094 ",50
236,"Toledo, OH","27,016","$12,566,553 ","$150,798,636 ","5,159","$2,894,199 ","$34,730,388 ","9,803",9803,"$49,088,420 ","$65,996,092 ",$561 ,"$8,370,191 ",30,"42,833","$17,489,086 ","$209,869,032 ","5,159","$2,894,199 ","$34,730,388 ","15,805",15805,"$70,383,424 ","$106,395,928 ",$561 ,"$13,494,044 ",50
237,"Topeka, KS","6,893","$2,756,057 ","$33,072,684 ","1,467","$601,470 ","$7,217,640 ","2,593",2593,"$11,492,392 ","$12,755,587 ",$410 ,"$2,213,587 ",30,"13,002","$5,008,063 ","$60,096,756 ","1,467","$601,470 ","$7,217,640 ","5,037",5037,"$22,841,140 ","$24,782,482 ",$410 ,"$4,300,718 ",50
238,"Trenton, NJ","15,255","$10,526,277 ","$126,315,324 ","2,401","$2,175,306 ","$26,103,672 ","5,841",5841,"$43,509,292 ","$63,506,144 ",$906 ,"$4,987,324 ",30,"23,115","$14,511,243 ","$174,134,916 ","2,401","$2,175,306 ","$26,103,672 ","8,708",8708,"$60,298,732 ","$94,674,720 ",$906 ,"$7,435,084 ",50
239,"Tucson, AZ","35,199","$20,117,012 ","$241,404,144 ","5,719","$3,705,912 ","$44,470,944 ","13,867",13867,"$88,678,120 ","$107,832,024 ",$648 ,"$11,840,028 ",30,"54,702","$27,236,688 ","$326,840,256 ","5,719","$3,705,912 ","$44,470,944 ","21,664",21664,"$121,414,856 ","$168,461,456 ",$648 ,"$18,497,180 ",50
240,"Tuscaloosa, AL","7,685","$4,248,256 ","$50,979,072 ","2,463","$1,366,965 ","$16,403,580 ","2,795",2795,"$16,472,185 ","$18,616,288 ",$555 ,"$2,386,603 ",30,"9,492","$4,893,846 ","$58,726,152 ","2,463","$1,366,965 ","$16,403,580 ","3,601",3601,"$19,256,060 ","$23,985,506 ",$555 ,"$3,074,935 ",50
241,"Tyler, TX","5,497","$3,289,055 ","$39,468,660 ","1,106","$706,734 ","$8,480,808 ","2,131",2131,"$13,207,297 ","$16,337,038 ",$639 ,"$1,819,083 ",30,"8,862","$4,470,089 ","$53,641,068 ","1,106","$706,734 ","$8,480,808 ","3,373",3373,"$18,077,972 ","$25,861,224 ",$639 ,"$2,879,574 ",50
242,"Urban Honolulu, HI","31,180","$29,153,108 ","$349,837,296 ","8,954","$11,729,740 ","$140,756,880 ","12,558",12558,"$121,146,800 ","$197,417,184 ","$1,310 ","$10,722,440 ",30,"56,450","$52,845,440 ","$634,145,280 ","8,954","$11,729,740 ","$140,756,880 ","21,682",21682,"$213,877,744 ","$340,844,224 ","$1,310 ","$18,512,480 ",50
243,"Utica-Rome, NY","9,881","$4,625,759 ","$55,509,108 ","3,687","$1,906,179 ","$22,874,148 ","3,567",3567,"$18,289,132 ","$22,128,618 ",$517 ,"$3,045,396 ",30,"15,848","$6,590,087 ","$79,081,044 ","3,687","$1,906,179 ","$22,874,148 ","6,170",6170,"$27,729,582 ","$38,276,032 ",$517 ,"$5,267,643 ",50
244,"Vallejo-Fairfield, CA","9,231","$8,431,384 ","$101,176,608 ","5,437","$5,214,083 ","$62,568,996 ","3,517",3517,"$35,711,248 ","$40,470,688 ",$959 ,"$3,002,631 ",30,"17,688","$14,343,564 ","$172,122,768 ","5,437","$5,214,083 ","$62,568,996 ","6,612",6612,"$60,411,884 ","$76,090,592 ",$959 ,"$5,645,369 ",50
245,"Virginia Beach-Norfolk-Newport News, VA-NC","52,040","$35,569,344 ","$426,832,128 ","19,789","$15,890,567 ","$190,686,804 ","19,451",19451,"$148,246,368 ","$187,431,936 ",$803 ,"$16,607,643 ",30,"87,483","$52,583,840 ","$631,006,080 ","19,789","$15,890,567 ","$190,686,804 ","32,261",32261,"$217,676,384 ","$310,870,912 ",$803 ,"$27,545,112 ",50
246,"Visalia-Porterville, CA","18,069","$9,611,608 ","$115,339,296 ","2,971","$1,366,660 ","$16,399,920 ","6,150",6150,"$36,933,512 ","$33,948,100 ",$460 ,"$5,250,947 ",30,"25,206","$12,077,022 ","$144,924,264 ","2,971","$1,366,660 ","$16,399,920 ","8,980",8980,"$47,567,984 ","$49,572,028 ",$460 ,"$7,667,589 ",50
247,"Waco, TX","10,089","$6,134,471 ","$73,613,652 ","2,329","$1,239,028 ","$14,868,336 ","3,514",3514,"$22,975,432 ","$22,436,268 ",$532 ,"$3,000,675 ",30,"13,562","$7,390,923 ","$88,691,076 ","2,329","$1,239,028 ","$14,868,336 ","4,864",4864,"$28,538,002 ","$31,052,456 ",$532 ,"$4,153,023 ",50
248,"Washington-Arlington-Alexandria, DC-VA-MD-WV","172,650","$159,831,344 ","$1,917,976,128 ","47,204","$58,155,328 ","$697,863,936 ","65,989",65989,"$659,844,800 ","$975,578,496 ","$1,232 ","$56,341,900 ",30,"293,425","$237,800,944 ","$2,853,611,328 ","47,204","$58,155,328 ","$697,863,936 ","107,875",107875,"$975,664,704 ","$1,594,819,584 ","$1,232 ","$92,104,504 ",50
249,"Wausau, WI","2,761","$1,042,454 ","$12,509,448 ",690,"$232,530 ","$2,790,360 ","1,170",1170,"$5,065,594 ","$4,732,172 ",$337 ,"$999,104 ",30,"5,676","$2,141,773 ","$25,701,276 ",690,"$232,530 ","$2,790,360 ","2,346",2346,"$10,089,068 ","$9,486,527 ",$337 ,"$2,002,891 ",50
250,"Wenatchee, WA","2,325","$1,086,032 ","$13,032,384 ",653,"$421,838 ","$5,062,056 ",917,917,"$4,631,405 ","$7,105,185 ",$646 ,"$782,569 ",30,"4,076","$1,967,392 ","$23,608,704 ",653,"$421,838 ","$5,062,056 ","1,624",1624,"$9,119,118 ","$12,589,659 ",$646 ,"$1,386,633 ",50
251,"Wichita Falls, TX","4,839","$2,271,729 ","$27,260,748 ",995,"$362,180 ","$4,346,160 ","1,813",1813,"$9,446,100 ","$7,918,322 ",$364 ,"$1,547,789 ",30,"7,191","$2,926,371 ","$35,116,452 ",995,"$362,180 ","$4,346,160 ","2,757",2757,"$12,530,236 ","$12,041,183 ",$364 ,"$2,353,682 ",50
252,"Wichita, KS","20,705","$10,098,223 ","$121,178,676 ","3,214","$1,668,066 ","$20,016,792 ","7,708",7708,"$41,436,360 ","$48,006,780 ",$519 ,"$6,581,354 ",30,"34,368","$14,760,323 ","$177,123,876 ","3,214","$1,668,066 ","$20,016,792 ","12,841",12841,"$62,517,068 ","$79,972,736 ",$519 ,"$10,963,636 ",50
253,"Wilmington, NC","11,120","$7,440,583 ","$89,286,996 ","2,312","$1,549,040 ","$18,588,480 ","4,287",4287,"$29,752,076 ","$34,465,132 ",$670 ,"$3,660,034 ",30,"18,800","$11,042,660 ","$132,511,920 ","2,312","$1,549,040 ","$18,588,480 ","7,182",7182,"$45,395,272 ","$57,741,308 ",$670 ,"$6,131,854 ",50
254,"Winston-Salem, NC","21,613","$9,845,610 ","$118,147,320 ","6,156","$3,281,148 ","$39,373,776 ","7,830",7830,"$39,490,248 ","$50,082,328 ",$533 ,"$6,685,553 ",30,"33,499","$13,867,474 ","$166,409,688 ","6,156","$3,281,148 ","$39,373,776 ","12,660",12660,"$58,422,820 ","$80,975,584 ",$533 ,"$10,809,531 ",50
255,"Worcester, MA-CT","37,790","$20,806,400 ","$249,676,800 ","8,967","$6,832,854 ","$81,994,248 ","15,161",15161,"$90,096,784 ","$138,630,272 ",$762 ,"$12,944,434 ",30,"60,913","$31,015,106 ","$372,181,272 ","8,967","$6,832,854 ","$81,994,248 ","23,938",23938,"$133,293,312 ","$218,892,016 ",$762 ,"$20,438,778 ",50
256,"Yakima, WA","7,557","$3,516,715 ","$42,200,580 ",914,"$524,636 ","$6,295,632 ","2,681",2681,"$14,015,794 ","$18,464,888 ",$574 ,"$2,288,836 ",30,"11,823","$4,939,353 ","$59,272,236 ",914,"$524,636 ","$6,295,632 ","4,246",4246,"$20,075,292 ","$29,249,712 ",$574 ,"$3,625,682 ",50
257,"York-Hanover, PA","9,638","$5,479,829 ","$65,757,948 ","1,630","$948,660 ","$11,383,920 ","3,818",3818,"$23,906,826 ","$26,666,438 ",$582 ,"$3,260,033 ",30,"17,597","$8,335,905 ","$100,030,860 ","1,630","$948,660 ","$11,383,920 ","6,819",6819,"$36,287,956 ","$47,623,180 ",$582 ,"$5,822,043 ",50
258,"Youngstown-Warren-Boardman, OH-PA","20,200","$7,622,307 ","$91,467,684 ","3,749","$1,702,046 ","$20,424,552 ","7,510",7510,"$30,891,082 ","$40,917,080 ",$454 ,"$6,412,521 ",30,"31,117","$10,600,301 ","$127,203,612 ","3,749","$1,702,046 ","$20,424,552 ","12,113",12113,"$44,483,612 ","$65,989,584 ",$454 ,"$10,341,881 ",50
259,"Yuba City, CA","5,486","$2,949,685 ","$35,396,220 ","1,223","$754,591 ","$9,055,092 ","2,109",2109,"$11,984,770 ","$15,616,764 ",$617 ,"$1,800,885 ",30,"8,665","$4,215,670 ","$50,588,040 ","1,223","$754,591 ","$9,055,092 ","3,355",3355,"$17,631,120 ","$24,839,148 ",$617 ,"$2,864,386 ",50
260,"Yuma, AZ","6,087","$2,687,554 ","$32,250,648 ","1,840","$999,120 ","$11,989,440 ","2,254",2254,"$10,874,220 ","$14,685,325 ",$543 ,"$1,924,260 ",30,"7,260","$3,047,096 ","$36,565,152 ","1,840","$999,120 ","$11,989,440 ","2,849",2849,"$12,683,139 ","$18,562,170 ",$543 ,"$2,432,254 ",50
